Name;Code;Assortment;Color;Article;Description;tech;cylinder sizes;Brands;Completeness;Product group;Nomenclature group;Designation;Country;Mounting type;Type of mechanism;Cylinder type;B2B website page;Price;Currency;Unit
Mottura Art. 9411504P Броненакладка Defender д.50мм, золото;6520;Заказной;Золото;9411504P;<h3><span>Врізна броненакладка Mottura Basic</span></h3> <p><span>Врізна броненакладка призначена для встановлення на циліндрові замки для захисту циліндрових механізмів від таких атак, як перелом, розрив, свердління та подібних.< /span></p> <p><span>Встановлюється шляхом кріплення двома гвинтами безпосередньо до замку. Або стягується наскрізь через замок із внутрішньою накладкою. При цьому у внутрішній накладці різьбові втулки обрізаються так, щоб вони були притягнуті до замку. </span><span>Захисні накладки Defender® basic </span>мають захисні шайби на ключовому отворі, що захищають циліндр від висвердлювання та вибивання. Сталеві сфери для захисту кріпильних гвинтів. Дані накладки можна використовувати з більшістю замків із європейським циліндровим механізмом.</p>;;;Mottura;;аксессуары для входных дверей;Замки Mottura;Накладка;Италия;;;;https://b2b.polyserv.com.ua/catalog/259;39,050;EUR;шт
Mottura Art. 9411601PC5 Броненакладка Defender д.45мм, золото;6101;Заказной;Золото;9411601PC5;"<h3><span style=""font-size: 10px;"">Врізна броненакладка призначена для встановлення на циліндрові замки для захисту циліндрових механізмів від таких атак, як перелом, розрив, свердління та подібних.</span></h3> < Встановлюється шляхом кріплення двома гвинтами безпосередньо до замку. Або стягується наскрізь через замок із внутрішньою накладкою. При цьому у внутрішній накладці різьбові втулки обрізаються так, щоб вони були притягнуті до замку. </span><span>Захисні накладки Defender® </span>мають захисні шайби на ключовому отворі, що захищають циліндр від висвердлювання та вибивання. Сталеві сфери для захисту кріпильних гвинтів. Дані накладки можна використовувати з більшістю замків із європейським циліндровим механізмом.</p>";;;Mottura;;аксессуары для входных дверей;Замки Mottura;Накладка;Италия;;;;;39,150;EUR;шт
Mottura Art. 9411602C5 Броненакладка;4118;Заказной;Нержавеющая сталь;9411602C5;;;;Mottura;;аксессуары для входных дверей;Замки Mottura;Накладка;Италия;;;;https://b2b.polyserv.com.ua/catalog/261;39,050;EUR;шт
Mottura Art. 9411602PC5 Броненакладка;4119;Заказной;Латунь полированная;9411602PC5;<p>Захисні накладки нової серії Defender® Basic мають захисну шайбу на ключовому отворі та захищають циліндр від висвердлювання та вибивання. Дані накладки можна використовувати з більшістю замків із європейським циліндровим механізмом. Дана накладка Defender® Basic 50 мм. Захист ключового отвору 6 мм. Отвор для ключа 3,5 мм. Використовується із зовнішньою накладкою арт. 95301 чи 95308/95402. Кріплення 2 болтами М6 з міжосьовою відстанню (DIN 38/8). </p>;;;Mottura;;аксессуары для входных дверей;Замки Mottura;Накладка;Италия;;;;https://b2b.polyserv.com.ua/catalog/262;39,150;EUR;шт
Mottura Art. 9411606CR Броненакладка Defender д.50мм, хром;13768;Заказной;Хром полированный;9411606CR;<h3><span>Врізна броненакладка Mottura Basic</span></h3> <p><span>Врізна броненакладка призначена для встановлення на циліндрові замки для захисту циліндрових механізмів від таких атак, як перелом, розрив, свердління та подібних.< /span></p> <p><span>Встановлюється шляхом кріплення двома гвинтами безпосередньо до замку. Або стягується наскрізь через замок із внутрішньою накладкою. При цьому у внутрішній накладці різьбові втулки обрізаються так, щоб вони були притягнуті до замку. </span><span>Захисні накладки Defender® та</span> мають захисні шайби на ключовому отворі, що захищають циліндр від висвердлювання та вибивання. Сталеві сфери для захисту кріпильних гвинтів. Дані накладки можна використовувати з більшістю замків із європейським циліндровим механізмом.</p>;;;Mottura;;аксессуары для входных дверей;Замки Mottura;Накладка;Италия;;;;https://b2b.polyserv.com.ua/catalog/263;41,300;EUR;компл
Mottura Art. 9411606CS Броненакладка Defender д.50мм, сат. хром;13769;Заказной;Хром сатин;9411606CS;<h3><span>Врізна броненакладка Mottura Basic</span></h3> <p><span>Врізна броненакладка призначена для встановлення на циліндрові замки для захисту циліндрових механізмів від таких атак, як перелом, розрив, свердління та подібних.< /span></p> <p><span>Встановлюється шляхом кріплення двома гвинтами безпосередньо до замку. Або стягується наскрізь через замок із внутрішньою накладкою. При цьому у внутрішній накладці різьбові втулки обрізаються так, щоб вони були притягнуті до замку. </span><span>Захисні накладки Defender® та</span> мають захисні шайби на ключовому отворі, що захищають циліндр від висвердлювання та вибивання. Сталеві сфери для захисту кріпильних гвинтів. Дані накладки можна використовувати з більшістю замків із європейським циліндровим механізмом.</p>;;;Mottura;;аксессуары для входных дверей;Замки Mottura;Накладка;Италия;;;;https://b2b.polyserv.com.ua/catalog/264;41,300;EUR;компл
Mottura Art. 9411606P Броненакладка Defender д.50мм, золото;13770;Заказной;Золото;9411606P;"<h3><span style=""font-size: 10px;"">Врізна броненакладка призначена для встановлення на циліндрові замки для захисту циліндрових механізмів від таких атак, як перелом, розрив, свердління та подібних.</span></h3> < Встановлюється шляхом кріплення двома гвинтами безпосередньо до замку. Або стягується наскрізь через замок із внутрішньою накладкою. При цьому у внутрішній накладці різьбові втулки обрізаються так, щоб вони були притягнуті до замку. </span><span>Захисні накладки Defender® </span>мають захисні шайби на ключовому отворі, що захищають циліндр від висвердлювання та вибивання. Сталеві сфери для захисту кріпильних гвинтів. Дані накладки можна використовувати з більшістю замків із європейським циліндровим механізмом.</p>";;;Mottura;;аксессуары для входных дверей;Замки Mottura;Накладка;Италия;;;;https://b2b.polyserv.com.ua/catalog/265;44,800;EUR;шт
Mottura Art. 9411607C5 Броненакладка;4214;Заказной;Нержавеющая сталь;9411607C5;"<h3><span style=""font-size: 10px;"">Врізна броненакладка призначена для встановлення на циліндрові замки для захисту циліндрових механізмів від таких атак, як перелом, розрив, свердління та подібних.</span></h3> < Встановлюється шляхом кріплення двома гвинтами безпосередньо до замку. Або стягується наскрізь через замок із внутрішньою накладкою. При цьому у внутрішній накладці різьбові втулки обрізаються так, щоб вони були притягнуті до замку. </span><span>Захисні накладки Defender® </span>мають захисні шайби на ключовому отворі, що захищають циліндр від висвердлювання та вибивання. Сталеві сфери для захисту кріпильних гвинтів. Дані накладки можна використовувати з більшістю замків із європейським циліндровим механізмом.</p>";;;Mottura;;аксессуары для входных дверей;Замки Mottura;Накладка;Италия;;;;https://b2b.polyserv.com.ua/catalog/267;41,300;EUR;шт
Mottura Art. 9411607PC5 Броненакладка;4215;Заказной;Латунь полированная;9411607PC5;"<h3><span style=""font-size: 10px;"">Врізна броненакладка призначена для встановлення на циліндрові замки для захисту циліндрових механізмів від таких атак, як перелом, розрив, свердління та подібних.</span></h3> < Встановлюється шляхом кріплення двома гвинтами безпосередньо до замку. Або стягується наскрізь через замок із внутрішньою накладкою. При цьому у внутрішній накладці різьбові втулки обрізаються так, щоб вони були притягнуті до замку. </span><span>Захисні накладки Defender® </span>мають захисні шайби на ключовому отворі, що захищають циліндр від висвердлювання та вибивання. Сталеві сфери для захисту кріпильних гвинтів. Дані накладки можна використовувати з більшістю замків із європейським циліндровим механізмом.</p>";;;Mottura;;аксессуары для входных дверей;Замки Mottura;Накладка;Италия;;;;https://b2b.polyserv.com.ua/catalog/269;43,500;EUR;шт
Mottura Art. 9411616 Броненакладка Defender д.50мм, латунь;26817;Заказной;Латунь полированная;9411616;<p><span><b>Врізна броненакладка призначена для встановлення на циліндрові замки для захисту циліндрових механізмів від таких атак, як перелом, розрив, свердління та подібних.</b></span></p> <p>< span>Встановлюється шляхом кріплення двома гвинтами безпосередньо до замка. Або стягується наскрізь через замок із внутрішньою накладкою. При цьому у внутрішній накладці різьбові втулки обрізаються так, щоб вони були притягнуті до замку. </span><span>Захисні накладки Defender® </span>мають захисні шайби на ключовому отворі, що захищають циліндр від висвердлювання та вибивання. Сталеві сфери для захисту кріпильних гвинтів. Дані накладки можна використовувати з більшістю замків із європейським циліндровим механізмом.</p>;;;Mottura;;аксессуары для входных дверей;Замки Mottura;Накладка;Италия;;;;https://b2b.polyserv.com.ua/catalog/9998;41,300;EUR;компл
Mottura Art. 9411616 Броненакладка Defender д.50мм, мат латунь;26818;Заказной;Латунь матовая;9411616;<p><span><b>Врізна броненакладка призначена для встановлення на циліндрові замки для захисту циліндрових механізмів від таких атак, як перелом, розрив, свердління та подібних.</b></span></p> <p>< span>Встановлюється шляхом кріплення двома гвинтами безпосередньо до замка. Або стягується наскрізь через замок із внутрішньою накладкою. При цьому у внутрішній накладці різьбові втулки обрізаються так, щоб вони були притягнуті до замку. </span><span>Захисні накладки Defender® </span>мають захисні шайби на ключовому отворі, що захищають циліндр від висвердлювання та вибивання. Сталеві сфери для захисту кріпильних гвинтів. Дані накладки можна використовувати з більшістю замків із європейським циліндровим механізмом.</p>;;;Mottura;;аксессуары для входных дверей;Замки Mottura;Накладка;Италия;;;;https://b2b.polyserv.com.ua/catalog/9999;41,300;EUR;компл
Mottura Art. 9411616CR Броненакладка Defender д.50мм, хром;5493;Заказной;Хром полированный;9411616CR;<p><span>Врізна броненакладка призначена для встановлення на циліндрові замки для захисту циліндрових механізмів від таких атак, як перелом, розрив, свердління та подібних.</span></p> <p><span>Встановлюється шляхом кріплення двома гвинтами безпосередньо до замку. Або стягується наскрізь через замок із внутрішньою накладкою. При цьому у внутрішній накладці різьбові втулки обрізаються так, щоб вони були притягнуті до замку. </span><span>Захисні накладки Defender® </span>мають захисні шайби на ключовому отворі, що захищають циліндр від висвердлювання та вибивання. Сталеві сфери для захисту кріпильних гвинтів. Дані накладки можна використовувати з більшістю замків із європейським циліндровим механізмом.</p>;;;Mottura;;аксессуары для входных дверей;Замки Mottura;Накладка;Италия;;;;https://b2b.polyserv.com.ua/catalog/270;43,500;EUR;компл
Mottura Art. 9411616CS Броненакладка Defender д.50мм, сат. хром;5507;Заказной;Хром сатин;9411616;"<h3 style=""text-align: justify;""><span style=""font-size: 10px; font-weight: normal;"">Врізна броненакладка призначена для встановлення на циліндрові замки для захисту циліндрових механізмів від таких атак, як перелом , розрив, свердління та подібних.</span></h3> <p style=""text-align: justify;"">Встановлюється шляхом кріплення двома гвинтами безпосередньо до замку. Або стягується наскрізь через замок із внутрішньою накладкою. При цьому у внутрішній накладці різьбові втулки обрізаються так, щоб вони були притягнуті до замку. Захисні накладки Defender® мають захисні шайби на ключовому отворі, що захищають циліндр від висвердлювання та вибивання. Сталеві сфери для захисту кріпильних гвинтів. Дані накладки можна використовувати з більшістю замків із європейським циліндровим механізмом.</p>";;;Mottura;;аксессуары для входных дверей;Замки Mottura;Накладка;Италия;;;;https://b2b.polyserv.com.ua/catalog/271;43,500;EUR;шт
Mottura Art. 9411616NEGRO Броненакладка Defender д.50мм, черн.;5226;Заказной;Черный матовый;9411616NERO;"<h3><span style=""font-size: 10px; font-weight: normal;"">Врізна броненакладка призначена для встановлення на циліндрові замки для захисту циліндрових механізмів від таких атак, як перелом, розрив, свердління та подібних.</span ></h3> <p><span>Встановлюється шляхом кріплення двома гвинтами безпосередньо до замка. Або стягується наскрізь через замок із внутрішньою накладкою. При цьому у внутрішній накладці різьбові втулки обрізаються так, щоб вони були притягнуті до замку. </span><span>Захисні накладки Defender® </span>мають захисні шайби на ключовому отворі, що захищають циліндр від висвердлювання та вибивання. Сталеві сфери для захисту кріпильних гвинтів. Дані накладки можна використовувати з більшістю замків із європейським циліндровим механізмом.</p>";;;Mottura;;аксессуары для входных дверей;Замки Mottura;Накладка;Италия;;;;https://b2b.polyserv.com.ua/catalog/272;42,550;EUR;компл
Mottura Art. 9411616P Броненакладка Defender д.50мм, зол.;5227;Заказной;Золото;9411616P;<p><span>Врізна броненакладка призначена для встановлення на циліндрові замки для захисту циліндрових механізмів від таких атак, як перелом, розрив, свердління та подібних.</span></p> <p><span>Встановлюється шляхом кріплення двома гвинтами безпосередньо до замку. Або стягується наскрізь через замок із внутрішньою накладкою. При цьому у внутрішній накладці різьбові втулки обрізаються так, щоб вони були притягнуті до замку. </span><span>Захисні накладки Defender®</span> мають захисні шайби на ключовому отворі, що захищають циліндр від висвердлювання та вибивання. Сталеві сфери для захисту кріпильних гвинтів. Дані накладки можна використовувати з більшістю замків із європейським циліндровим механізмом.</p>;;;Mottura;;аксессуары для входных дверей;Замки Mottura;Накладка;Италия;;;;https://b2b.polyserv.com.ua/catalog/273;44,800;EUR;компл
Mottura Art. 9492400000 Броненакладка Defender;54652;Заказной;Черный;9492400000;Mottura Art. 9411616CR Броненакладка Defender д.50мм, хром для замка 3D;;;Mottura;Броненакладка;аксессуары для входных дверей;Замки Mottura;Накладка;Италия;Врезной;;;https://b2b.polyserv.com.ua/catalog/6883;35,500;EUR;шт
Mottura Art. 95308 накладка для броненакладки Defender;6457;Заказной;Нержавеющая сталь;95308;Накладка для броненакладки Mottura Art. 95308 латунь;;;Mottura;;аксессуары для входных дверей;Замки Mottura;Накладка;Италия;;;;https://b2b.polyserv.com.ua/catalog/303;4,100;EUR;шт
Mottura Art. 95506CS000 Прокладка;54653;Заказной;Хром матовый;95506CS000;"<p><strong></strong><strong>Mottura Art. 9411100/1 Прокладка під броньовану накладку Defender 1mm</strong></p>

<p>Накладка – важливий елемент дверної фурнітури, захищає запірний механізм від потрапляння пилу та дрібних часток, котрі можуть негативно вплинути на його роботу. Також наявність накладки захищає циліндр від розхитування та злому, методом вибивання. Крім захисної, дверна накладка несе естетичну функцію, доповнюючи дверну конструкцію досконалим візуальним виглядом.</p>

<p>Модель виготовлена з високоякісного матеріалу, стійка до корозії та протягом довгого часу здатна зберігати первозданний вигляд.</p>

<p>Аксесуар має овальну форму та представлений в класичному кольорі нержавіюча сталь.</p>";;;Mottura;Декор накладка под шток;аксессуары для входных дверей;Замки Mottura;Прокладка;Италия;Накладной;;;https://b2b.polyserv.com.ua/catalog/6884;9,800;EUR;шт
Mottura Art. 9816240CS;29747;Заказной;Нержавеющая сталь;9816240CS;Накладка Mottura Art. 9816240CS матовий хром;;;Mottura;;аксессуары для входных дверей;Замки Mottura;Накладка;Италия;;;;https://b2b.polyserv.com.ua/catalog/10722;4,000;EUR;шт
Mottura Art. 99293 Крепежный винт к броненакладке L=90мм;13773;Заказной;Черный;99293/L90 M6;Mottura Art. 99293 Кріпильний гвинт до броненакладкою L = 90мм;;;Mottura;;аксессуары для входных дверей;Замки Mottura;Крепежный элемент;Италия;;;;https://b2b.polyserv.com.ua/catalog/330;2,250;EUR;шт
Mottura Art. 99293070C Крепежный винт к броненакладке L=70мм;6102;Заказной;Черный;99293070C;Mottura Art. 99293070C Кріпильний гвинт до броненакладкою L = 70мм;;;Mottura;;аксессуары для входных дверей;Замки Mottura;Крепежный элемент;Италия;;;;https://b2b.polyserv.com.ua/catalog/331;1,400;EUR;шт
Mottura Art. DF37100MAAC3 Магнитная броненакладка Defender 3 ключа мат хром;66000;Заказной;Матовый/Хром;DF37100MAAC3;"Магнітні Defender DF371 регулюються пружиною (10 мм). Вони складаються зі сталевого Defender з накладкою з листового металу (72 x 90 мм) і спеціальної обертової кришки, яка повністю захищає шпонковий паз. Обертання корпусу контролюється спеціальним магнітним ключем, безпека якого забезпечується комбінацією полярності 7 магнітів у 8 можливих положеннях. Паз для ключа додатково захищений обертовою шайбою з хромованої сталі зі шліцом для ключа 5 мм. Накладка Defender має лише одне покриття INOX, тоді як накладка з алюмінію/латуні пропонує 7 різних покриттів для найкращого поєднання з наявними ручками та ручками. Можливість виготовлення Defender з таким самим кодуванням у версії KA, що відкривається тим самим магнітним ключем. Доступна з кріпленнями M6 з міжосьовою відстанню 26/38 мм або 31 мм (на замовлення тільки для DF371) - кріпильні гвинти включені в комплект.
Спеціальний магнітний ключ дозволяє відкрити механічний ключовий замок. Ключовий замок Defender з магнітним або магнітно-механічним кодуванням з профілем RECTANGULAR з можливістю різних профілів ключів для отримання великої кількості кодів. Дублікат ключа в авторизованих центрах Mottura Club.";;;Mottura;;аксессуары для входных дверей;Замки Mottura;Накладка;Италия;;;;https://b2b.polyserv.com.ua/catalog/19563;223,450;EUR;шт
Mottura Art. DF37100MBRC3 Магнитная броненакладка Defender 3 ключа бронза;65997;Заказной;Бронза;DF37100MBRC3;"Магнітні Defender DF371 регулюються пружиною (10 мм). Вони складаються зі сталевого Defender з накладкою з листового металу (72 x 90 мм) і спеціальної обертової кришки, яка повністю захищає шпонковий паз. Обертання корпусу контролюється спеціальним магнітним ключем, безпека якого забезпечується комбінацією полярності 7 магнітів у 8 можливих положеннях. Паз для ключа додатково захищений обертовою шайбою з хромованої сталі зі шліцом для ключа 5 мм. Накладка Defender має лише одне покриття INOX, тоді як накладка з алюмінію/латуні пропонує 7 різних покриттів для найкращого поєднання з наявними ручками та ручками. Можливість виготовлення Defender з таким самим кодуванням у версії KA, що відкривається тим самим магнітним ключем. Доступна з кріпленнями M6 з міжосьовою відстанню 26/38 мм або 31 мм (на замовлення тільки для DF371) - кріпильні гвинти включені в комплект.
Спеціальний магнітний ключ дозволяє відкрити механічний ключовий замок. Ключовий замок Defender з магнітним або магнітно-механічним кодуванням з профілем RECTANGULAR з можливістю різних профілів ключів для отримання великої кількості кодів. Дублікат ключа в авторизованих центрах Mottura Club.";;;Mottura;;аксессуары для входных дверей;Замки Mottura;Накладка;Италия;;;;https://b2b.polyserv.com.ua/catalog/19560;213,100;EUR;шт
Mottura Art. DF37100MCRC3 Магнитная броненакладка Defender 3 ключа хром;65998;Заказной;Хром;DF37100MCRC3;"Магнітні Defender DF371 регулюються пружиною (10 мм). Вони складаються зі сталевого Defender з накладкою з листового металу (72 x 90 мм) і спеціальної обертової кришки, яка повністю захищає шпонковий паз. Обертання корпусу контролюється спеціальним магнітним ключем, безпека якого забезпечується комбінацією полярності 7 магнітів у 8 можливих положеннях. Паз для ключа додатково захищений обертовою шайбою з хромованої сталі зі шліцом для ключа 5 мм. Накладка Defender має лише одне покриття INOX, тоді як накладка з алюмінію/латуні пропонує 7 різних покриттів для найкращого поєднання з наявними ручками та ручками. Можливість виготовлення Defender з таким самим кодуванням у версії KA, що відкривається тим самим магнітним ключем. Доступна з кріпленнями M6 з міжосьовою відстанню 26/38 мм або 31 мм (на замовлення тільки для DF371) - кріпильні гвинти включені в комплект.
Спеціальний магнітний ключ дозволяє відкрити механічний ключовий замок. Ключовий замок Defender з магнітним або магнітно-механічним кодуванням з профілем RECTANGULAR з можливістю різних профілів ключів для отримання великої кількості кодів. Дублікат ключа в авторизованих центрах Mottura Club.";;;Mottura;;аксессуары для входных дверей;Замки Mottura;Накладка;Италия;;;;https://b2b.polyserv.com.ua/catalog/19561;178,300;EUR;шт
Mottura Art. DF37100MCSC3 Магнитная броненакладка Defender 3 ключа сатин хром;65996;Заказной;Хром сатин;DF37100MCSC3;"Магнітні Defender DF371 регулюються пружиною (10 мм). Вони складаються зі сталевого Defender з накладкою з листового металу (72 x 90 мм) і спеціальної обертової кришки, яка повністю захищає шпонковий паз. Обертання корпусу контролюється спеціальним магнітним ключем, безпека якого забезпечується комбінацією полярності 7 магнітів у 8 можливих положеннях. Паз для ключа додатково захищений обертовою шайбою з хромованої сталі зі шліцом для ключа 5 мм. Накладка Defender має лише одне покриття INOX, тоді як накладка з алюмінію/латуні пропонує 7 різних покриттів для найкращого поєднання з наявними ручками та ручками. Можливість виготовлення Defender з таким самим кодуванням у версії KA, що відкривається тим самим магнітним ключем. Доступна з кріпленнями M6 з міжосьовою відстанню 26/38 мм або 31 мм (на замовлення тільки для DF371) - кріпильні гвинти включені в комплект.
Спеціальний магнітний ключ дозволяє відкрити механічний ключовий замок. Ключовий замок Defender з магнітним або магнітно-механічним кодуванням з профілем RECTANGULAR з можливістю різних профілів ключів для отримання великої кількості кодів. Дублікат ключа в авторизованих центрах Mottura Club.";;;Mottura;;аксессуары для входных дверей;Замки Mottura;Накладка;Италия;;;;https://b2b.polyserv.com.ua/catalog/19559;223,600;EUR;шт
Mottura Art. DF37100MNOC3 Магнитная броненакладка Defender 3 ключа черный;65999;Заказной;Черный;DF37100MNOC3;"Магнітні Defender DF371 регулюються пружиною (10 мм). Вони складаються зі сталевого Defender з накладкою з листового металу (72 x 90 мм) і спеціальної обертової кришки, яка повністю захищає шпонковий паз. Обертання корпусу контролюється спеціальним магнітним ключем, безпека якого забезпечується комбінацією полярності 7 магнітів у 8 можливих положеннях. Паз для ключа додатково захищений обертовою шайбою з хромованої сталі зі шліцом для ключа 5 мм. Накладка Defender має лише одне покриття INOX, тоді як накладка з алюмінію/латуні пропонує 7 різних покриттів для найкращого поєднання з наявними ручками та ручками. Можливість виготовлення Defender з таким самим кодуванням у версії KA, що відкривається тим самим магнітним ключем. Доступна з кріпленнями M6 з міжосьовою відстанню 26/38 мм або 31 мм (на замовлення тільки для DF371) - кріпильні гвинти включені в комплект.
Спеціальний магнітний ключ дозволяє відкрити механічний ключовий замок. Ключовий замок Defender з магнітним або магнітно-механічним кодуванням з профілем RECTANGULAR з можливістю різних профілів ключів для отримання великої кількості кодів. Дублікат ключа в авторизованих центрах Mottura Club.";;;Mottura;;аксессуары для входных дверей;Замки Mottura;Накладка;Италия;;;;https://b2b.polyserv.com.ua/catalog/19562;174,900;EUR;шт
